epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.26,1.1667,3.93619,1.10054,0.29026,0.32313,0.22178,0.16957,0.97272,3.41959,0.97136,0.00332665,0.00332665,0.00332665
2,268.765,1.15425,2.71524,1.10122,0.42239,0.45986,0.4022,0.30369,0.94349,2.65459,0.97625,0.00659405,0.00659405,0.00659405
3,409.261,1.16599,2.32425,1.12346,0.58985,0.5177,0.50449,0.37393,1.01153,2.3894,1.01544,0.00979545,0.00979545,0.00979545
4,543.637,1.17277,2.00085,1.12866,0.54314,0.60792,0.56948,0.43277,0.93933,1.70546,0.98801,0.009703,0.009703,0.009703
5,671.681,1.13601,1.64376,1.1248,0.60768,0.64401,0.63927,0.49354,0.9186,1.39199,0.98789,0.009604,0.009604,0.009604
6,799.428,1.11538,1.46466,1.11088,0.69248,0.6562,0.6988,0.54308,0.89079,1.21674,0.97896,0.009505,0.009505,0.009505
7,927.412,1.08917,1.35556,1.10443,0.69065,0.67742,0.71651,0.564,0.87444,1.14879,0.97016,0.009406,0.009406,0.009406
8,1055.51,1.07446,1.27143,1.09689,0.72393,0.63381,0.71632,0.56157,0.86214,1.12351,0.96091,0.009307,0.009307,0.009307
9,1183.43,1.05879,1.2216,1.08737,0.73292,0.683,0.73323,0.58312,0.85767,1.02521,0.9612,0.009208,0.009208,0.009208
10,1311.46,1.05606,1.1752,1.08452,0.76284,0.69869,0.76588,0.60671,0.84634,0.96345,0.96195,0.009109,0.009109,0.009109
11,1439.06,1.04438,1.1371,1.07978,0.7551,0.70706,0.77112,0.60942,0.8479,0.96157,0.96038,0.00901,0.00901,0.00901
12,1566.91,1.02693,1.11011,1.07161,0.76682,0.70324,0.78842,0.62567,0.82906,0.90053,0.9526,0.008911,0.008911,0.008911
13,1694.4,1.02683,1.07151,1.06913,0.74806,0.74947,0.79215,0.6313,0.82297,0.88175,0.94975,0.008812,0.008812,0.008812
14,1822.03,1.02451,1.06364,1.07021,0.76348,0.76338,0.79878,0.63881,0.81523,0.85855,0.94088,0.008713,0.008713,0.008713
15,1949.87,1.00032,1.02389,1.05271,0.76771,0.75169,0.79804,0.63596,0.80497,0.8436,0.93983,0.008614,0.008614,0.008614
16,2077.83,1.00554,1.01396,1.05013,0.81115,0.72181,0.79722,0.63545,0.81795,0.84385,0.93784,0.008515,0.008515,0.008515
17,2205.18,0.98883,0.99558,1.04575,0.78229,0.7312,0.79821,0.64077,0.7997,0.84416,0.93286,0.008416,0.008416,0.008416
18,2331.15,0.9914,0.98865,1.04879,0.78721,0.77106,0.81456,0.65404,0.79381,0.80118,0.93812,0.008317,0.008317,0.008317
19,2454.21,0.9903,0.97395,1.04611,0.75577,0.75852,0.80742,0.64982,0.79496,0.80258,0.93431,0.008218,0.008218,0.008218
20,2580.08,0.97336,0.95497,1.03966,0.81045,0.75906,0.82771,0.6652,0.79403,0.7825,0.92915,0.008119,0.008119,0.008119
21,2707.84,0.98193,0.95502,1.04392,0.79527,0.75445,0.8253,0.66673,0.78828,0.76275,0.92435,0.00802,0.00802,0.00802
22,2835.85,0.97716,0.94301,1.0374,0.827,0.7508,0.82368,0.66497,0.77921,0.77112,0.92259,0.007921,0.007921,0.007921
23,2963.66,0.97605,0.92541,1.0351,0.82104,0.75731,0.82257,0.66497,0.78218,0.75539,0.92586,0.007822,0.007822,0.007822
24,3091.75,0.96139,0.90957,1.03169,0.80466,0.76669,0.82964,0.66996,0.78526,0.74295,0.92574,0.007723,0.007723,0.007723
