epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.241,0.84307,0.65466,0.96852,0.88775,0.79544,0.88166,0.72587,0.71418,0.54132,0.88815,4.65066e-05,4.65066e-05,4.65066e-05
2,367.233,0.82511,0.63256,0.96193,0.88111,0.81719,0.886,0.72937,0.71706,0.54299,0.89129,9.12631e-05,9.12631e-05,9.12631e-05
3,557.059,0.83265,0.64304,0.96734,0.88252,0.82131,0.88364,0.72381,0.71647,0.55126,0.89036,0.000134174,0.000134174,0.000134174
4,746.646,0.83717,0.65039,0.96678,0.85215,0.82671,0.88286,0.72427,0.72034,0.55232,0.88974,0.00017524,0.00017524,0.00017524
5,936.301,0.83593,0.64712,0.96772,0.85614,0.8206,0.88047,0.72641,0.71324,0.55164,0.88989,0.00021446,0.00021446,0.00021446
6,1125.71,0.83735,0.65198,0.96472,0.87895,0.8205,0.88759,0.72724,0.7099,0.54368,0.88747,0.000209933,0.000209933,0.000209933
7,1315.15,0.83448,0.65052,0.96631,0.87745,0.83052,0.89934,0.74007,0.70739,0.54007,0.88894,0.00020532,0.00020532,0.00020532
8,1504.17,0.82117,0.63276,0.96146,0.87336,0.82912,0.89691,0.73807,0.70639,0.54662,0.88861,0.000200706,0.000200706,0.000200706
9,1693.81,0.82128,0.63327,0.9605,0.86822,0.83895,0.8973,0.7383,0.70168,0.52579,0.88434,0.000196093,0.000196093,0.000196093
10,1883.68,0.82373,0.62829,0.96107,0.85914,0.83797,0.89136,0.73146,0.70508,0.53431,0.88529,0.000191479,0.000191479,0.000191479
11,2073.63,0.8147,0.61731,0.95719,0.86278,0.8349,0.89369,0.73482,0.70199,0.54191,0.88696,0.000186866,0.000186866,0.000186866
12,2263.37,0.80464,0.61575,0.95581,0.87784,0.84568,0.90113,0.74364,0.69128,0.51968,0.88192,0.000182253,0.000182253,0.000182253
13,2453.31,0.81057,0.6065,0.95674,0.87853,0.84065,0.90067,0.74373,0.69701,0.51965,0.88444,0.000177639,0.000177639,0.000177639
14,2642.98,0.80861,0.61067,0.95591,0.89113,0.83058,0.90198,0.74299,0.69378,0.52998,0.88278,0.000173026,0.000173026,0.000173026
15,2832.65,0.79362,0.59203,0.94977,0.88055,0.8367,0.89578,0.74377,0.69328,0.51339,0.88154,0.000168412,0.000168412,0.000168412
16,3022.38,0.79964,0.59495,0.94995,0.88086,0.84184,0.90059,0.74525,0.69133,0.50108,0.88224,0.000163799,0.000163799,0.000163799
17,3211.9,0.78836,0.58616,0.94845,0.87961,0.84227,0.89718,0.74502,0.69083,0.50975,0.88244,0.000159186,0.000159186,0.000159186
18,3401.56,0.79207,0.58714,0.95062,0.88718,0.83411,0.89951,0.74732,0.69016,0.49889,0.88454,0.000154572,0.000154572,0.000154572
19,3591.7,0.78473,0.58441,0.94525,0.88155,0.84433,0.90666,0.75252,0.68755,0.48743,0.88092,0.000149959,0.000149959,0.000149959
20,3781.62,0.77503,0.57727,0.94545,0.88323,0.84018,0.89916,0.74597,0.68967,0.50825,0.8804,0.000145345,0.000145345,0.000145345
21,3971.47,0.78147,0.58133,0.9471,0.88087,0.84221,0.90155,0.74639,0.6888,0.50375,0.88077,0.000140732,0.000140732,0.000140732
22,4161.52,0.78184,0.57489,0.94455,0.9027,0.84029,0.91113,0.75714,0.68398,0.48701,0.88052,0.000136119,0.000136119,0.000136119
23,4352.45,0.77891,0.57306,0.94248,0.89548,0.84967,0.91107,0.75492,0.68699,0.47821,0.88107,0.000131505,0.000131505,0.000131505
24,4542.69,0.77027,0.56203,0.94,0.88356,0.85793,0.91094,0.75397,0.69309,0.48715,0.88103,0.000126892,0.000126892,0.000126892
25,4732.96,0.76681,0.56112,0.94015,0.8939,0.84781,0.9064,0.75676,0.67608,0.48086,0.87747,0.000122278,0.000122278,0.000122278
26,4922.48,0.7689,0.56313,0.9398,0.90074,0.84744,0.90729,0.75091,0.6839,0.47706,0.88209,0.000117665,0.000117665,0.000117665
27,5112.59,0.76404,0.55914,0.93698,0.8981,0.84481,0.90497,0.75248,0.68045,0.48433,0.87994,0.000113052,0.000113052,0.000113052
28,5302.44,0.76845,0.55771,0.93933,0.89764,0.84866,0.91051,0.75762,0.6778,0.47679,0.87909,0.000108438,0.000108438,0.000108438
29,5492.22,0.75639,0.55077,0.93806,0.88832,0.85756,0.90779,0.75392,0.68418,0.4727,0.88217,0.000103825,0.000103825,0.000103825
30,5682.45,0.74805,0.54375,0.93062,0.89049,0.85175,0.90796,0.75551,0.68225,0.476,0.88037,9.92114e-05,9.92114e-05,9.92114e-05
31,5872.45,0.74995,0.54663,0.9303,0.89837,0.85978,0.90991,0.75696,0.68098,0.47312,0.88011,9.4598e-05,9.4598e-05,9.4598e-05
32,6062.48,0.75199,0.53835,0.9321,0.89114,0.86598,0.91435,0.76292,0.67769,0.46777,0.88001,8.99846e-05,8.99846e-05,8.99846e-05
33,6252.26,0.74947,0.53489,0.93508,0.8961,0.85249,0.91333,0.76064,0.67637,0.46994,0.87909,8.53712e-05,8.53712e-05,8.53712e-05
34,6442.4,0.74332,0.53616,0.93348,0.89218,0.86096,0.91151,0.75768,0.67862,0.47354,0.87944,8.07578e-05,8.07578e-05,8.07578e-05
35,6632.45,0.73842,0.53584,0.92791,0.88732,0.86543,0.9113,0.75813,0.67715,0.471,0.87964,7.61444e-05,7.61444e-05,7.61444e-05
36,6822.26,0.73645,0.52933,0.92566,0.90188,0.85369,0.91248,0.76042,0.67607,0.46645,0.87917,7.1531e-05,7.1531e-05,7.1531e-05
37,7012.27,0.73038,0.52502,0.92782,0.89922,0.86167,0.91776,0.7633,0.67514,0.46587,0.87698,6.69176e-05,6.69176e-05,6.69176e-05
38,7202.06,0.73106,0.52278,0.92634,0.90114,0.85883,0.91643,0.76418,0.67667,0.46585,0.87851,6.23042e-05,6.23042e-05,6.23042e-05
39,7392.57,0.73095,0.5242,0.92659,0.89109,0.86287,0.91472,0.76242,0.67479,0.46218,0.8781,5.76908e-05,5.76908e-05,5.76908e-05
40,7582.53,0.72393,0.51617,0.9244,0.88512,0.87087,0.91515,0.76221,0.67318,0.46762,0.87778,5.30774e-05,5.30774e-05,5.30774e-05
41,7806.99,0.72882,0.46204,0.92841,0.88738,0.86826,0.91422,0.75716,0.6864,0.4757,0.8803,4.8464e-05,4.8464e-05,4.8464e-05
42,7996.39,0.71499,0.45381,0.92269,0.89039,0.87062,0.91354,0.75672,0.68431,0.47295,0.88063,4.38506e-05,4.38506e-05,4.38506e-05
43,8185.44,0.7139,0.44953,0.92189,0.89225,0.86778,0.91359,0.75718,0.6878,0.47205,0.88168,3.92372e-05,3.92372e-05,3.92372e-05
44,8375.31,0.70424,0.4414,0.91887,0.90515,0.85502,0.91478,0.76153,0.68198,0.47046,0.87973,3.46238e-05,3.46238e-05,3.46238e-05
45,8564.65,0.70075,0.44224,0.91449,0.89778,0.85492,0.91309,0.75753,0.68338,0.47032,0.88048,3.00104e-05,3.00104e-05,3.00104e-05
